District,timeperiod,No. of person evacuated,No. of Persons Rescued,Population Affected,"Total Livestock Lost",House Damage Total,Cultivated Area affected in Hectare,Crop Loss Total in hact.,Population Affected in Cyclone Fani ,"No. of Person evacuated in cyclone Fani",House Damage Total in cyclone Fani,Cultivated Area affected in Hectare in cyclone Fani,"Total Livestock Affected in cyclone Fani","Total Livestock Lost in cyclone Fani",Population Affected in Cyclone Bulbul,No. of Persons evacuated in cyclone Bulbul,House Damage Total in cyclone Bulbul,Cultivated Area affected in Hectare in cyclone Bulbul,"Total Livestock Lost in cyclone Bulbul",Total No. Of Death of Humans In Flood & Cyclone
Koraput,2019-20,1190,0,9538,4,1145,94.6,70.222,0,691,0,0,0,0,0,0,0,0,0,60
Malkangiri,2019-20,"5,511",158,235602,4,899,1732.525,373.605,0,0,0,0,0,0,0,0,0,0,0,37
Mayurbhanj,2019-20,0,0,0,0,0,0,0,173095,84687,1450,62.4,1324,1,293,172,150,7305.74,0,79
Nabarangpur,2019-20,0,0,2699,3,722,241,241,0,0,0,0,0,0,0,0,0,0,0,0
Nayagarh,2019-20,1200,0,1200,0,0,0,0,344100,52850,5731,317,466767,20013,0,0,0,0,0,15
Nuapada,2019-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puri,2019-20,0,0,0,0,0,0,0,1968228,129800,278762,60339,2982575,2671929,0,0,0,0,0,48
Rayagada,2019-20,3735,0,83270,312,1277,1599.8,620.729,0,0,0,0,0,0,0,0,0,0,0,0
Sambalpur,2019-20,0,0,307,6,320,0,0,0,0,0,0,0,0,0,0,0,0,0,44
Sonepur,2019-20,9534,680,73335,267,4007,6096.12,772.597,0,0,0,0,0,0,0,0,0,0,0,12
Sundargarh,2019-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Anugul,2020-21,0,0,32500,3247,6,0,0,0,0,0,0,0,0,0,0,58,,,
Balangir,2020-21,31017,0,432000,145102,2004,0,0,750000,0,4,0,0,7,13.1,27.435,50,,,
Baleshwar,2020-21,0,0,20468,0,0,0,0,,0,0,0,0,0,0,0,20,,,
Bargarh,2020-21,49564,0,262223,166236,0,0,0,130000,0,6,0,1005,1010,27.9,3.042,77,,,
Bhadrak,2020-21,0,0,4783,0,0,0,0,0,0,0,0,0,0,0,0,22,,,
Boudh,2020-21,0,0,5455,12113,0,0,0,0,0,0,0,0,0,0,0,3,,,
Cuttack,2020-21,10961,0,71774,65992,500,0,0,344077,0,0,0,0,0,0,0,52,,,
Deogarh,2020-21,0,0,1763,0,0,0,0,0,0,0,0,0,0,0,0,18,,,
Dhenkanal,2020-21,0,0,25000,4233,3,0,0,0,0,0,0,0,0,0,0,79,,,
Gajapati,2020-21,1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,,
Ganjam,2020-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,,,
Jagatsinghapur,2020-21,16840,0,38833,13837,0,0,0,1136971,0,35,0,870,878,22.03,38.87,16,,,
Jajapur,2020-21,7140,0,995947,309482,22912,0,0,547526,0,9,0,17000,2811,0,0,67,,,
Jharsuguda,2020-21,0,0,16248,698,0,0,0,0,0,0,0,0,0,0,0,29,,,
Kalahandi,2020-21,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,26,,,
Kandhamal,2020-21,0,0,1430,0,0,0,0,0,0,0,0,0,0,0,0,7,,,
Kendrapara,2020-21,39864,0,1522901,64975,608,0,0,0,0,16,0,0,17,10.18,76.83,66,,,
Kendujhar,2020-21,258,0,97796,0,0,0,0,258,0,0,0,0,0,0,0.2,104,,,
Khordha,2020-21,0,0,10647,10776,101,0,0,3172,0,1,0,0,0,0,0,27,,,
Koraput,2020-21,0,0,6840,0,0,0,0,0,0,0,0,0,0,0,0,84,,,
Malkangiri,2020-21,27216,0,11826,0,0,0,0,49800,0,0,0,0,0,0,16.8,114,,,
Mayurbhanj,2020-21,0,0,106999,0,0,0,0,0,0,0,0,0,0,0,0,59,,,
Nabarangpur,2020-21,0,0,1502,0,0,0,0,0,0,0,0,0,0,0,0,58,,,
Nayagarh,2020-21,55,0,28406,0,0,0,0,0,0,0,0,0,0,0,0,17,,,
Nuapada,2020-21,0,0,1180,0,0,0,0,0,0,0,0,0,0,0,0,10,,,
Puri,2020-21,12712,0,133121,84194,7121,0,0,40857,0,0,0,0,0,0,6.178,21,,,
Rayagada,2020-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,
Sambalpur,2020-21,0,0,7845,0,0,0,0,0,0,0,0,0,0,0,0,39,,,
Sonepur,2020-21,0,0,44809,0,0,0,0,0,0,0,0,0,0,0,0,16,,,
Sundargarh,2020-21,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,82,,,
Anugul,2021-22,0,0,"6,296",5,1178,18.73,0,0,0,0,0,0,0,34,,,,,
Balangir,2021-22,656,0,"19,624",0,194,6278,0,15.06,1,8404,1319,0,0,73,,,,,
Baleshwar,2021-22,151,0,"2,632",1,1168,21.65,0,0,0,0,0,0,0,18,,,,,
Bargarh,2021-22,382,0,"2,89,096",4,719,10739.88,0,18.799,1,3474,510,0,0,85,,,,,
Bhadrak,2021-22,242,0,717,0,142,8.3,0,0,0,0,0,0,0,7,,,,,
Boudh,2021-22,0,0,"1,78,490",7,1185,52,0,0,0,0,0,0,0,1,,,,,
Cuttack,2021-22,5683,0,"42,823",6,918,30837.2,0,0.36,0,0,0,0,0,60,,,,,
Deogarh,2021-22,0,0,101,0,1,0,0,0,0,0,0,0,0,15,,,,,
Dhenkanal,2021-22,220,0,"1,00,000",11,299,946,0,0.354,1,46,0,0,0,37,,,,,
Gajapati,2021-22,0,0,0,0,0,0,0,0,0,0,0,0,0,9,,,,,
Ganjam,2021-22,0,0,0,0,0,0,0,0,0,0,0,0,0,89,,,,,
Jagatsinghapur,2021-22,6988,0,"11,36,971",9,779,38236,0,11.969,1,1,39.5,0,0,26,,,,,
Jajapur,2021-22,1690,0,"92,802",7,4569,36818.5,0,20,1,998,1768,0,0,56,,,,,
Jharsuguda,2021-22,12,0,"1,208",0,0,76,0,0,0,0,0,0,0,25,,,,,
Kalahandi,2021-22,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,,,,
Kandhamal,2021-22,24,0,"10,200",0,2,0,0,0,0,0,0,0,0,18,,,,,
Kendrapara,2021-22,1117,0,"8,89,117",0,147,1815.66,0,15.23,0,601,277,0,0,59,,,,,
Kendujhar,2021-22,0,0,"6,050",0,104,0,0,2.075,1,2283,646.91,0,0,97,,,,,
Khordha,2021-22,0,0,"5,590",0,323,2983.55,0,0,0,0,0,0,0,13,,,,,
Koraput,2021-22,0,0,247,0,47,0,0,0,0,0,0,0,0,58,,,,,
Malkangiri,2021-22,3195,0,"40,279",7,897,1145,0,4.557,1,2050,1020.89,0,0,106,,,,,
Mayurbhanj,2021-22,0,0,0,0,0,0,0,0,0,0,0,0,0,60,,,,,
Nabarangpur,2021-22,0,0,0,0,0,0,0,0,0,0,0,0,0,42,,,,,
Nayagarh,2021-22,50,0,"1,77,000",2,160,0,0,0,0,0,0,0,0,13,,,,,
Nuapada,2021-22,0,0,985,0,0,0,0,0,0,0,0,0,0,10,,,,,
Puri,2021-22,4115,0,"28,909",10,888,16428.01,0,0.576,0,0,70,0,0,40,,,,,
Rayagada,2021-22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,,,
Sambalpur,2021-22,302,0,0,0,0,0,0,0,0,0,0,0,0,41,,,,,
Sonepur,2021-22,66,0,790,0,680,22,0,0,0,0,0,0,0,4,,,,,
Sundargarh,2021-22,0,0,65,0,676,1.1,0,0.035,0,237,84.69,0,0,81,,,,,
Anugul,2022-23,0,2086,31386,0,986,1568.65,57,,,,,,,,,,,,
Balangir,2022-23,0,0,4470,0,370,1425.23,20,,,,,,,,,,,,
Baleshwar,2022-23,0,94493,1139877,0,1041,8070.4,123,,,,,,,,,,,,
Bargarh,2022-23,0,0,0,0,417,0,31,,,,,,,,,,,,
Bhadrak,2022-23,0,71207,248562,0,75,12732.27,70,,,,,,,,,,,,
Boudh,2022-23,0,28022,61753,0,843,3100,5,,,,,,,,,,,,
Cuttack,2022-23,0,227948,323389,0,1718,35831,90,,,,,,,,,,,,
Deogarh,2022-23,0,0,0,0,0,0,25,,,,,,,,,,,,
Dhenkanal,2022-23,0,0,0,0,0,0,77,,,,,,,,,,,,
Gajapati,2022-23,0,0,0,0,0,0,14,,,,,,,,,,,,
Ganjam,2022-23,0,0,0,0,0,0,141,,,,,,,,,,,,
Jagatsinghapur,2022-23,0,21466,45618,0,26,4372.976,27,,,,,,,,,,,,
Jajapur,2022-23,0,0,100295,0,45,17723,63,,,,,,,,,,,,
Jharsuguda,2022-23,0,0,33055,0,259,2174.52,27,,,,,,,,,,,,
Kalahandi,2022-23,0,0,3428,0,878,1840.55,22,,,,,,,,,,,,
Kandhamal,2022-23,0,0,41400,0,787,24.261,35,,,,,,,,,,,,
Kendrapara,2022-23,0,45710,90063,0,218,2202.75,75,,,,,,,,,,,,
Kendujhar,2022-23,0,0,8601,0,661,0,119,,,,,,,,,,,,
Khordha,2022-23,0,45711,29826,18770,351,10278.13,47,,,,,,,,,,,,
Koraput,2022-23,0,0,2182,0,712,297,87,,,,,,,,,,,,
Malkangiri,2022-23,0,0,0,0,0,0,63,,,,,,,,,,,,
Mayurbhanj,2022-23,0,0,7312,894,1074,2004.2,139,,,,,,,,,,,,
Nabarangpur,2022-23,0,0,5524,0,1056,98.49,66,,,,,,,,,,,,
Nayagarh,2022-23,0,21682,21682,24871,140,4236.65,36,,,,,,,,,,,,
Nuapada,2022-23,0,0,1361,0,269,39.57,16,,,,,,,,,,,,
Puri,2022-23,0,245135,253362,170460,375,26781.2,61,,,,,,,,,,,,
Rayagada,2022-23,0,0,0,0,0,0,17,,,,,,,,,,,,
Sambalpur,2022-23,0,0,3120,0,437,0,69,,,,,,,,,,,,
Sonepur,2022-23,0,900,3850,0,86,659.33,17,,,,,,,,,,,,
Sundargarh,2022-23,0,0,7068,0,1411,69.66,99,,,,,,,,,,,,
Anugul,2023-24,0,1363,14017,125,1158,20,0,0,0,0,0,0,48,,,,,,
Balangir,2023-24,0,2929,6925,0,406,181,0,0,0,0,0,0,26,,,,,,
Baleshwar,2023-24,0,1725,202075,0,112,195,0,0,0,0,0,0,121,,,,,,
Bargarh,2023-24,0,0,7906,0,0,0,0,0,0,399.43,0,0,26,,,,,,
Bhadrak,2023-24,0,68877,363838,0,909,7822.96,0,0,0,0,0,0,70,,,,,,
Boudh,2023-24,0,872,3900,0,504,205.832,0,0,0,0,0,0,6,,,,,,
Cuttack,2023-24,0,92,4000,0,0,6873,0,0,0,0,0,0,76,,,,,,
Deogarh,2023-24,0,0,0,0,0,0,0,0,0,0.33,0,0,26,,,,,,
Dhenkanal,2023-24,0,0,170,0,0,0,0,0,0,0,0,0,68,,,,,,
Gajapati,2023-24,0,0,0,0,0,0,0,0,0,0,0,0,11,,,,,,
Ganjam,2023-24,0,0,0,0,0,0,0,0,0,0,0,0,101,,,,,,
Jagatsinghapur,2023-24,0,1504,10970,0,0,211.5,0,0,0,0,0,0,18,,,,,,
Jajapur,2023-24,0,2406,165761,2,306,9316.56,0,0,0,0,0,0,56,,,,,,
Jharsuguda,2023-24,0,0,4900,0,226,0,0,0,0,1085.96,0,0,30,,,,,,
Kalahandi,2023-24,0,1232,6526,0,137,0,0,0,0,660.32,0,0,27,,,,,,
Kandhamal,2023-24,0,95,14200,0,124,0,0,0,0,0,0,0,26,,,,,,
Kendrapara,2023-24,0,15190,134053,0,0,0,0,0,0,0,0,0,53,,,,,,
Kendujhar,2023-24,0,1458,161,0,436,0,0,0,0,0,0,0,119,,,,,,
Khordha,2023-24,0,0,215,0,0,49.386,0,0,0,0,0,0,37,,,,,,
Koraput,2023-24,0,0,0,0,633,0,0,0,0,214.59,0,0,65,,,,,,
Malkangiri,2023-24,0,0,0,0,0,0,0,0,0,0,0,0,59,,,,,,
Mayurbhanj,2023-24,0,2310,4799,90,292,111.904,0,0,0,0,0,0,107,,,,,,
Nabarangpur,2023-24,0,0,0,0,0,0,0,0,0,1.61,0,0,91,,,,,,
Nayagarh,2023-24,0,0,0,0,0,0,0,0,0,0,0,0,32,,,,,,
Nuapada,2023-24,0,0,0,0,0,0,0,0,0,2931.94,0,0,12,,,,,,
Puri,2023-24,0,0,150,0,0,0,0,0,0,0,0,0,53,,,,,,
Rayagada,2023-24,0,0,0,0,0,0,0,0,0,0,0,0,12,,,,,,
Sambalpur,2023-24,0,455,0,60,248,5,0,0,0,1544.28,0,0,30,,,,,,
Sonepur,2023-24,0,743,7860,1200,744,371.5498,0,0,0,0,0,0,12,,,,,,
Sundargarh,2023-24,0,0,1424,0,259,0,0,0,0,6556.32,0,0,71,,,,,,
